"","H1","H2","H3","H4","H5","H6","H7","H8","graph","seed","case"
"207",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",26,"n = 100"
"208",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",26,"n = 100"
"209",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Bonferroni",27,"n = 100"
"210",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",27,"n = 100"
"211",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"BonHolm",27,"n = 100"
"212",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Fallback",27,"n = 100"
"213",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",27,"n = 100"
"214",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",27,"n = 100"
"215",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",27,"n = 100"
"216",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",27,"n = 100"
"217",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",28,"n = 100"
"218",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",28,"n = 100"
"219",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"BonHolm",28,"n = 100"
"220",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Fallback",28,"n = 100"
"221",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",28,"n = 100"
"222",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",28,"n = 100"
"223",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",28,"n = 100"
"224",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",28,"n = 100"
"225",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",29,"n = 100"
"226",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",29,"n = 100"
